ID,Name,Brand,Price,Category,Description,Picture Path 1,Image Preview 1 (Google Sheets),Picture Path 2,Image Preview 2 (Google Sheets),Picture Path 3,Image Preview 3 (Google Sheets),Colors,Sizes
1,Midnight Elegance Abaya (191036),Reverie,1550,Abayas,Meticulously crafted luxury modest wear. Includes multiple styling options and premium fabric selection. Highlighted by our signature stitching and tailored details.,/images/products/20260506_191036.jpg,=IMAGE("https://nafshe.com/images/products/20260506_191036.jpg"),/images/products/20260506_191100.jpg,=IMAGE("https://nafshe.com/images/products/20260506_191100.jpg"),/images/products/20260506_192041.jpg,=IMAGE("https://nafshe.com/images/products/20260506_192041.jpg"),Midnight | Black,XS | S | M | L | XL
2,Satin Evening Gown (192055),Luxe,2130,Formal,Meticulously crafted luxury modest wear. Includes multiple styling options and premium fabric selection. Highlighted by our signature stitching and tailored details.,/images/products/20260506_192055.jpg,=IMAGE("https://nafshe.com/images/products/20260506_192055.jpg"),/images/products/20260506_192254.jpg,=IMAGE("https://nafshe.com/images/products/20260506_192254.jpg"),/images/products/20260506_192309.jpg,=IMAGE("https://nafshe.com/images/products/20260506_192309.jpg"),Midnight | Black | Emerald,XS | S | M | L | XL
3,Cotton Lounge Set (192328),Nafshe,2000,Casual,Meticulously crafted luxury modest wear. Includes multiple styling options and premium fabric selection. Highlighted by our signature stitching and tailored details.,/images/products/20260506_192328.jpg,=IMAGE("https://nafshe.com/images/products/20260506_192328.jpg"),/images/products/20260506_192440.jpg,=IMAGE("https://nafshe.com/images/products/20260506_192440.jpg"),/images/products/20260506_192613.jpg,=IMAGE("https://nafshe.com/images/products/20260506_192613.jpg"),Midnight | Black | Emerald | Ivory,XS | S | M | L | XL
4,Gold Loop Brooch (193502),Reverie,1210,Accessories,Meticulously crafted luxury modest wear. Includes multiple styling options and premium fabric selection. Highlighted by our signature stitching and tailored details.,/images/products/20260506_193502.jpg,=IMAGE("https://nafshe.com/images/products/20260506_193502.jpg"),/images/products/20260506_193635.jpg,=IMAGE("https://nafshe.com/images/products/20260506_193635.jpg"),/images/products/20260506_193655.jpg,=IMAGE("https://nafshe.com/images/products/20260506_193655.jpg"),Midnight | Black,XS | S | M | L | XL
5,Limited Edition Kimono (193834),Luxe,2260,Limited,Meticulously crafted luxury modest wear. Includes multiple styling options and premium fabric selection. Highlighted by our signature stitching and tailored details.,/images/products/20260506_193834.jpg,=IMAGE("https://nafshe.com/images/products/20260506_193834.jpg"),/images/products/20260506_193903.jpg,=IMAGE("https://nafshe.com/images/products/20260506_193903.jpg"),/images/products/20260506_194006.jpg,=IMAGE("https://nafshe.com/images/products/20260506_194006.jpg"),Midnight | Black | Emerald,XS | S | M | L | XL
6,Gold Thread Abaya (194150),Nafshe,1220,Abayas,Meticulously crafted luxury modest wear. Includes multiple styling options and premium fabric selection. Highlighted by our signature stitching and tailored details.,/images/products/20260506_194150.jpg,=IMAGE("https://nafshe.com/images/products/20260506_194150.jpg"),/images/products/20260506_195621.jpg,=IMAGE("https://nafshe.com/images/products/20260506_195621.jpg"),/images/products/20260506_195628.jpg,=IMAGE("https://nafshe.com/images/products/20260506_195628.jpg"),Midnight | Black | Emerald | Ivory,XS | S | M | L | XL
7,Satin Evening Gown (195643),Reverie,1400,Formal,Meticulously crafted luxury modest wear. Includes multiple styling options and premium fabric selection. Highlighted by our signature stitching and tailored details.,/images/products/20260506_195643.jpg,=IMAGE("https://nafshe.com/images/products/20260506_195643.jpg"),/images/products/20260506_195932.jpg,=IMAGE("https://nafshe.com/images/products/20260506_195932.jpg"),/images/products/20260506_200035.jpg,=IMAGE("https://nafshe.com/images/products/20260506_200035.jpg"),Midnight | Black,XS | S | M | L | XL
8,Cotton Lounge Set (200221),Luxe,2390,Casual,Meticulously crafted luxury modest wear. Includes multiple styling options and premium fabric selection. Highlighted by our signature stitching and tailored details.,/images/products/20260506_200221.jpg,=IMAGE("https://nafshe.com/images/products/20260506_200221.jpg"),/images/products/20260506_200235.jpg,=IMAGE("https://nafshe.com/images/products/20260506_200235.jpg"),/images/products/20260506_200327.jpg,=IMAGE("https://nafshe.com/images/products/20260506_200327.jpg"),Midnight | Black | Emerald,XS | S | M | L | XL
9,Gold Loop Brooch (201858),Nafshe,2220,Accessories,Meticulously crafted luxury modest wear. Includes multiple styling options and premium fabric selection. Highlighted by our signature stitching and tailored details.,/images/products/20260506_201858.jpg,=IMAGE("https://nafshe.com/images/products/20260506_201858.jpg"),/images/products/20260506_201914.jpg,=IMAGE("https://nafshe.com/images/products/20260506_201914.jpg"),/images/products/20260506_202107.jpg,=IMAGE("https://nafshe.com/images/products/20260506_202107.jpg"),Midnight | Black | Emerald | Ivory,XS | S | M | L | XL
10,Collector Gold Thread Abaya (202120),Reverie,1720,Limited,Meticulously crafted luxury modest wear. Includes multiple styling options and premium fabric selection. Highlighted by our signature stitching and tailored details.,/images/products/20260506_202120.jpg,=IMAGE("https://nafshe.com/images/products/20260506_202120.jpg"),/images/products/20260506_202359_1.jpg,=IMAGE("https://nafshe.com/images/products/20260506_202359_1.jpg"),/images/products/20260506_202426_1.jpg,=IMAGE("https://nafshe.com/images/products/20260506_202426_1.jpg"),Midnight | Black,XS | S | M | L | XL
